"compartment","state","gene","donors","samples","cells","mean_expression","pct_expressing","aggregation","mean_expression_z"
"Myeloid","C1Qhi IL1Blo macro","PLAUR",12,17,549,2.97567607410472,0.53517342580233,"Sample-first; samples equal-weighted",1.45724828711657
"Myeloid","C1Qhi IL1Blo macro","ICAM1",12,17,549,1.98456186050729,0.472003534908011,"Sample-first; samples equal-weighted",0.670902794349585
"Myeloid","C1Qhi IL1Blo macro","CXCL8",12,17,549,13.733313807291,0.469314614277909,"Sample-first; samples equal-weighted",3.01796565442
"Myeloid","C1Qhi IL1Blo macro","OSM",12,17,549,0.267612853614997,0.126696991031808,"Sample-first; samples equal-weighted",1.27440674915946
"Fibroblast/pericyte","C3hi CCL19pos fibroblast","IL1B",4,5,199,0.0102564102564103,0.0102564102564103,"Sample-first; samples equal-weighted",-0.357949337620007
"Fibroblast/pericyte","C3hi CCL19pos fibroblast","IL6",4,5,199,1.17642555240598,0.269014075957972,"Sample-first; samples equal-weighted",3.23446899455574
"Fibroblast/pericyte","C3hi CCL19pos fibroblast","CXCL10",4,5,199,2.85337266957246,0.178886486090779,"Sample-first; samples equal-weighted",3.28286238349317
"Fibroblast/pericyte","C3hi CCL19pos fibroblast","CCL2",4,5,199,12.5331763084229,0.809097218045376,"Sample-first; samples equal-weighted",2.54409864901984
"Fibroblast/pericyte","C3hi CCL19pos fibroblast","NFKB1",4,5,199,0.413186855228992,0.268941771293227,"Sample-first; samples equal-weighted",-0.209256396059886
"Fibroblast/pericyte","C3hi CCL19pos fibroblast","PLAUR",4,5,199,0.278274664655159,0.21017187394525,"Sample-first; samples equal-weighted",-0.475878884947209
"Fibroblast/pericyte","C3hi CCL19pos fibroblast","ICAM1",4,5,199,2.1249703819419,0.52079451624942,"Sample-first; samples equal-weighted",0.775767125513124
"Fibroblast/pericyte","C3hi CCL19pos fibroblast","CXCL8",4,5,199,1.61890118613862,0.148624785877212,"Sample-first; samples equal-weighted",-0.100278146792973
"Fibroblast/pericyte","C3hi CCL19pos fibroblast","OSM",4,5,199,0,0,"Sample-first; samples equal-weighted",-0.368488865200951
"Fibroblast/pericyte","C3hi RSPO3pos fibroblast","IL1B",10,18,1060,0.00120242193412925,0.00120242193412925,"Sample-first; samples equal-weighted",-0.35956743983095
"Fibroblast/pericyte","C3hi RSPO3pos fibroblast","IL6",10,18,1060,0.242764845587389,0.0859003672468786,"Sample-first; samples equal-weighted",0.191911742710489
"Fibroblast/pericyte","C3hi RSPO3pos fibroblast","CXCL10",10,18,1060,0.186233761853717,0.0316327522283745,"Sample-first; samples equal-weighted",-0.385137261564972
"Fibroblast/pericyte","C3hi RSPO3pos fibroblast","CCL2",10,18,1060,6.04421003921177,0.638895791581881,"Sample-first; samples equal-weighted",0.893809951164922
"Fibroblast/pericyte","C3hi RSPO3pos fibroblast","NFKB1",10,18,1060,0.268686231480031,0.215073718973207,"Sample-first; samples equal-weighted",-0.733136164269471
"Fibroblast/pericyte","C3hi RSPO3pos fibroblast","PLAUR",10,18,1060,0.173300575831383,0.138600494761413,"Sample-first; samples equal-weighted",-0.551109906461834
"Fibroblast/pericyte","C3hi RSPO3pos fibroblast","ICAM1",10,18,1060,1.19253355616779,0.307484944160448,"Sample-first; samples equal-weighted",0.0793751751670227
"Fibroblast/pericyte","C3hi RSPO3pos fibroblast","CXCL8",10,18,1060,0.0256982796977434,0.0129180652727921,"Sample-first; samples equal-weighted",-0.510367784850156
"Fibroblast/pericyte","C3hi RSPO3pos fibroblast","OSM",10,18,1060,0,0,"Sample-first; samples equal-weighted",-0.368488865200951
"Myeloid","CD1Chi DC","IL1B",11,15,491,19.7379581050937,0.919186596300471,"Sample-first; samples equal-weighted",3.16772758982698
"Myeloid","CD1Chi DC","IL6",11,15,491,0.0776905160535815,0.0185366209125718,"Sample-first; samples equal-weighted",-0.346022535500666
"Myeloid","CD1Chi DC","CXCL10",11,15,491,0.812730993136758,0.0899775093356663,"Sample-first; samples equal-weighted",0.476457016605421
"Myeloid","CD1Chi DC","CCL2",11,15,491,0.1822168211443,0.072922932604136,"Sample-first; samples equal-weighted",-0.597025530686795
"Myeloid","CD1Chi DC","NFKB1",11,15,491,1.12982589677415,0.551870730735296,"Sample-first; samples equal-weighted",2.38888252704161
"Myeloid","CD1Chi DC","PLAUR",11,15,491,3.15510982959715,0.763885001972274,"Sample-first; samples equal-weighted",1.58584177976943
"Myeloid","CD1Chi DC","ICAM1",11,15,491,1.6238720624942,0.601361791829381,"Sample-first; samples equal-weighted",0.401521035751891
"Myeloid","CD1Chi DC","CXCL8",11,15,491,5.68055568822795,0.562054751228936,"Sample-first; samples equal-weighted",0.945189707892336
"Myeloid","CD1Chi DC","OSM",11,15,491,0.587349717249869,0.275717087651166,"Sample-first; samples equal-weighted",3.23729561611501
