"gene_set","gene_symbol"
"Random_neg","PNMT"
"Random_neg","TRIM54"
"Random_neg","OR2A41P"
"Random_neg","KRT18P40"
"Random_neg","NLRP3"
"Random_neg","RNA5SP366"
"Random_neg","TRAJ27"
"Random_neg","CTNNA3"
"Random_neg","MRGPRX9P"
"Random_neg","ADD2"
"Random_neg","RN7SL88P"
"Random_neg","LINC02693"
"Random_neg","ACSL3P1"
"Random_neg","LMX1A"
"Random_neg","OR7E128P"
"Random_neg","RPEP5"
"Random_neg","MIR6724-3"
"Random_neg","RNA5SP142"
"Random_neg","RAET1G"
"Random_neg","LILRB2"
"Random_neg","MPPE1"
"Random_neg","TSPY13P"
"Random_neg","UBQLN4P2"
"Random_neg","OR5BL1P"
"Random_neg","LINC01883"
"Random_neg","LRRC3-DT"
"Random_neg","ENSG00000303185"
"Random_neg","DNAAF9"
"Random_neg","MTHFD2P4"
"Random_neg","AOC3"
"Random_neg","SLC7A6"
"Random_neg","SEPTIN1"
"Random_neg","FAM225A"
"Random_neg","MCTP2"
"Random_neg","FGFR4"
"Random_neg","PRDM5"
"Random_neg","ZFHX3"
"Random_neg","LINC02880"
"Random_neg","NOG"
"Random_neg","RPL31P2"
"Random_neg","CRB2"
"Random_neg","MRGPRX2"
"Random_neg","MSL3B"
